,29,9,3,46,58,55,45,18,60,32,11,24,49,56,6,65,16,19,39,27,22,17,5,47,33,50,26,67,54,20,37,2,41,42,44
Label,A,A,C,C,B,B,C,B,A,B,B,A,B,A,A,B,B,A,C,A,B,C,C,B,C,C,B,B,A,C,B,B,A,C,C
['1+36'],26899.737,0.0,0.0,4849.601,28572.099,32618.807,7545.726,65818.653,21931.251,26617.413,0.0,33018.534,17981.662,0.0,0.0,0.0,46362.602,53898.012,0.0,36708.424,43121.726,10866.854,0.0,59827.974,9567.641,0.0,0.0,27211.523,0.0,4246.922,30082.63,0.0,20414.174,0.0,0.0
['1+37'],47675.49,69147.386,40518.156,37050.121,54388.776,74749.532,52303.491,84577.215,52866.536,66601.392,71530.217,61723.18,84308.842,0.0,80801.018,0.0,66542.966,75482.852,31505.533,71017.611,71062.596,39046.173,42779.257,84818.716,40198.154,37216.91,0.0,52935.859,94483.396,50351.901,58331.052,89954.166,43867.386,31487.895,51327.015
['1+38'],12531.092,0.0,4801.143,6315.227,0.0,0.0,17374.178,7272.063,0.0,3017.755,0.0,12671.25,14592.208,0.0,11568.998,0.0,8489.854,7757.919,9105.019,9696.086,5817.53,7244.528,4378.143,16036.387,13505.761,7474.905,0.0,0.0,0.0,5536.902,7045.455,9125.844,5380.228,0.0,0.0
['1+39'],0.0,2485339.19,3664463.21,0.0,0.0,0.0,0.0,2744872.95,0.0,0.0,2647225.7,2732950.76,0.0,0.0,3384636.23,0.0,2890844.94,3097080.7,0.0,3072103.98,3139654.61,0.0,3658315.7,0.0,0.0,0.0,0.0,0.0,0.0,3364310.93,0.0,3055388.71,0.0,0.0,0.0
['1+40'],7577.072,148428.16,0.0,0.0,84642.308,0.0,0.0,31031.608,0.0,23860.748,152625.266,31500.737,36167.793,0.0,89003.074,0.0,0.0,29499.982,0.0,41864.109,58433.379,24808.93,9112.399,3356.773,0.0,14634.206,0.0,11777.585,0.0,41483.658,15908.798,100850.091,0.0,0.0,0.0
['1+41'],0.0,161539.941,340538.288,0.0,590997.8,478082.596,382375.901,196275.49,0.0,161713.383,0.0,0.0,322927.881,0.0,132114.262,20546.791,185616.974,177020.589,301781.349,159066.928,0.0,266887.311,234083.943,269946.064,0.0,0.0,0.0,0.0,0.0,279645.964,322172.09,177765.018,0.0,0.0,0.0
['1+42'],0.0,22342.397,48125.819,0.0,0.0,147341.331,21717.786,66217.283,0.0,0.0,0.0,2580946.62,0.0,0.0,122491.479,0.0,48799.338,1081053.08,47027.835,2381420.88,206757.138,120937.891,0.0,77598.649,0.0,0.0,332838.874,0.0,79518.417,375515.214,0.0,42811.398,47422.088,0.0,0.0
['1+43'],164325.92,234181.049,119827.328,126483.009,305571.705,316994.277,116488.495,473772.143,237805.151,448228.731,399757.347,300764.35,375572.191,0.0,254912.601,192975.162,443453.1,340253.04,0.0,228400.465,427323.074,149442.042,107314.419,451971.355,76861.302,111629.808,0.0,372755.879,0.0,150154.316,304006.444,457589.84,235975.52,0.0,0.0
['1+44'],0.0,0.0,0.0,722918.289,1804070.73,0.0,3594114.67,0.0,0.0,2015749.72,0.0,0.0,1917114.6,0.0,0.0,0.0,0.0,0.0,2760721.72,0.0,0.0,0.0,0.0,0.0,0.0,2837192.97,0.0,199485.623,0.0,0.0,2141409.36,0.0,0.0,1053753.59,3626550.15
['1+45'],41297.474,0.0,49961.425,73225.624,42418.226,86474.934,27663.002,0.0,57772.913,45479.292,72050.83,69209.113,33177.194,0.0,0.0,10168.795,79328.021,90093.732,52760.175,0.0,92574.343,0.0,86412.247,43478.463,51746.072,56790.196,0.0,52653.69,0.0,47326.59,43353.914,29502.643,51539.122,0.0,33761.501
